sample_name,fastq_path,library
EwS_T67,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222615.fastq.gz,CALCULATE
EwS_T68,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222616.fastq.gz,CALCULATE
EwS_T69,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222617.fastq.gz,CALCULATE
EwS_T70,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222618.fastq.gz,CALCULATE
EwS_T71,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222619.fastq.gz,CALCULATE
EwS_T72,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222620.fastq.gz,CALCULATE
EwS_T73,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222621.fastq.gz,CALCULATE
EwS_T74,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222622.fastq.gz,CALCULATE
EwS_T75,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222623.fastq.gz,CALCULATE
EwS_T76,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222624.fastq.gz,CALCULATE
EwS_T77,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222625.fastq.gz,CALCULATE
EwS_T78,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222626.fastq.gz,CALCULATE
EwS_T79,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222627.fastq.gz,CALCULATE
EwS_T80,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222628.fastq.gz,CALCULATE
EwS_T81,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222629.fastq.gz,CALCULATE
EwS_T82,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222630.fastq.gz,CALCULATE
EwS_T83,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222631.fastq.gz,CALCULATE
